DATE,TIME PERIOD,EURO STOXX Equity Index - Historical close average of observations through period (FM.M.U2.EUR.DS.EI.DJEURST.HSTA)
2021-01-31,2021Jan,403.1465000
2021-02-28,2021Feb,410.0233500
2021-03-31,2021Mar,422.3625652
2021-04-30,2021Apr,440.0549500
2021-05-31,2021May,443.8412381
2021-06-30,2021Jun,455.3172727
2021-07-31,2021Jul,453.8236818
2021-08-31,2021Aug,468.5450000
2021-09-30,2021Sep,465.5206818
2021-10-31,2021Oct,461.3943810
2021-11-30,2021Nov,478.7441364
2021-12-31,2021Dec,469.0836522
2022-01-31,2022Jan,471.0414286
2022-02-28,2022Feb,452.7067000
2022-03-31,2022Mar,422.0720000
2022-04-30,2022Apr,428.9164737
2022-05-31,2022May,413.5345455
2022-06-30,2022Jun,399.5981364
2022-07-31,2022Jul,390.3773810
2022-08-31,2022Aug,408.5343043
2022-09-30,2022Sep,382.3814545
2022-10-31,2022Oct,378.5048571
2022-11-30,2022Nov,414.2180909
2022-12-31,2022Dec,418.2901905
2023-01-31,2023Jan,439.8407727
2023-02-28,2023Feb,455.8010500
2023-03-31,2023Mar,448.5205652
2023-04-30,2023Apr,460.8660556
2023-05-31,2023May,456.4324783
2023-06-30,2023Jun,455.4565909
2023-07-31,2023Jul,460.0983333
2023-08-31,2023Aug,453.9374348
2023-09-30,2023Sep,447.2963333
2023-10-31,2023Oct,430.8077727
2023-11-30,2023Nov,447.9939545
2023-12-31,2023Dec,472.0054737
2024-01-31,2024Jan,471.8392727
2024-02-29,2024Feb,489.4462857
2024-03-31,2024Mar,509.8278500
2024-04-30,2024Apr,511.2201429
2024-05-31,2024May,519.5482609
2024-06-30,2024Jun,510.0288000
2024-07-31,2024Jul,506.2804783
2024-08-31,2024Aug,494.0668182
2024-09-30,2024Sep,504.9776667
2024-10-31,2024Oct,511.1578696
2024-11-30,2024Nov,497.5375238
2024-12-31,2024Dec,507.4301000
2025-01-31,2025Jan,523.0821818
2025-02-28,2025Feb,553.7328500
2025-03-31,2025Mar,559.0683810
2025-04-30,2025Apr,520.6313500
2025-05-31,2025May,562.5654091
2025-06-30,2025Jun,561.7988095
2025-07-31,2025Jul,566.6731304
2025-08-31,2025Aug,571.9336190
2025-09-30,2025Sep,572.8193636
2025-10-31,2025Oct,594.3758261
2025-11-30,2025Nov,593.5356000
2025-12-31,2025Dec,604.3872857
