DATE,TIME PERIOD,Long-term interest rate for convergence purposes - Euro (IRS.M.U2.L.L40.CI.0000.EUR.N.Z)
2021-01-31,2021Jan,-0.18
2021-02-28,2021Feb,-0.06
2021-03-31,2021Mar,0.03
2021-04-30,2021Apr,0.08
2021-05-31,2021May,0.23
2021-06-30,2021Jun,0.16
2021-07-31,2021Jul,0.02
2021-08-31,2021Aug,-0.09
2021-09-30,2021Sep,0.06
2021-10-31,2021Oct,0.22
2021-11-30,2021Nov,0.17
2021-12-31,2021Dec,0.13
2022-01-31,2022Jan,0.40
2022-02-28,2022Feb,0.77
2022-03-31,2022Mar,0.89
2022-04-30,2022Apr,1.39
2022-05-31,2022May,1.69
2022-06-30,2022Jun,2.25
2022-07-31,2022Jul,1.91
2022-08-31,2022Aug,1.85
2022-09-30,2022Sep,2.61
2022-10-31,2022Oct,3.00
2022-11-30,2022Nov,2.83
2022-12-31,2022Dec,2.85
2023-01-31,2023Jan,2.93
2023-02-28,2023Feb,3.08
2023-03-31,2023Mar,3.11
2023-04-30,2023Apr,3.08
2023-05-31,2023May,3.09
2023-06-30,2023Jun,3.06
2023-07-31,2023Jul,3.15
2023-08-31,2023Aug,3.22
2023-09-30,2023Sep,3.37
2023-10-31,2023Oct,3.59
2023-11-30,2023Nov,3.30
2023-12-31,2023Dec,2.77
2024-01-31,2024Jan,2.83
2024-02-29,2024Feb,2.95
2024-03-31,2024Mar,2.90
2024-04-30,2024Apr,3.02
2024-05-31,2024May,3.07
2024-06-30,2024Jun,3.11
2024-07-31,2024Jul,3.06
2024-08-31,2024Aug,2.85
2024-09-30,2024Sep,2.78
2024-10-31,2024Oct,2.81
2024-11-30,2024Nov,2.88
2024-12-31,2024Dec,2.74
2025-01-31,2025Jan,3.04
2025-02-28,2025Feb,2.94
2025-03-31,2025Mar,3.24
2025-04-30,2025Apr,3.06
2025-05-31,2025May,3.06
2025-06-30,2025Jun,3.01
2025-07-31,2025Jul,3.09
2025-08-31,2025Aug,3.12
2025-09-30,2025Sep,3.15
2025-10-31,2025Oct,3.07
2025-11-30,2025Nov,3.09
2025-12-31,2025Dec,3.21
