DATE,TIME PERIOD,EURO STOXX 50
2021-01-31,2021Jan,3592.2347000
2021-02-28,2021Feb,3667.1430500
2021-03-31,2021Mar,3813.2930870
2021-04-30,2021Apr,3987.2866000
2021-05-31,2021May,4003.5907143
2021-06-30,2021Jun,4105.8087727
2021-07-31,2021Jul,4062.6065455
2021-08-31,2021Aug,4177.0259091
2021-09-30,2021Sep,4158.2860455
2021-10-31,2021Oct,4132.2289524
2021-11-30,2021Nov,4306.3552727
2021-12-31,2021Dec,4207.8640000
2022-01-31,2022Jan,4252.3260476
2022-02-28,2022Feb,4084.0970000
2022-03-31,2022Mar,3796.5993043
2022-04-30,2022Apr,3837.3430526
2022-05-31,2022May,3691.7740909
2022-06-30,2022Jun,3587.6240000
2022-07-31,2022Jul,3523.2912381
2022-08-31,2022Aug,3701.0550000
2022-09-30,2022Sep,3466.1881818
2022-10-31,2022Oct,3464.5760000
2022-11-30,2022Nov,3839.9561818
2022-12-31,2022Dec,3884.6727143
2023-01-31,2023Jan,4092.6740000
2023-02-28,2023Feb,4238.1341500
2023-03-31,2023Mar,4201.7349565
2023-04-30,2023Apr,4358.2668889
2023-05-31,2023May,4319.3204348
2023-06-30,2023Jun,4324.4394091
2023-07-31,2023Jul,4364.5068095
2023-08-31,2023Aug,4296.8437391
2023-09-30,2023Sep,4227.2277619
2023-10-31,2023Oct,4103.9530000
2023-11-30,2023Nov,4275.0408182
2023-12-31,2023Dec,4508.5926316
2024-01-31,2024Jan,4505.7760909
2024-02-29,2024Feb,4758.8865238
2024-03-31,2024Mar,4989.6480000
2024-04-30,2024Apr,4981.4074762
2024-05-31,2024May,5022.5601304
2024-06-30,2024Jun,4951.9745000
2024-07-31,2024Jul,4913.8887391
2024-08-31,2024Aug,4788.5109545
2024-09-30,2024Sep,4876.9896190
2024-10-31,2024Oct,4948.4404348
2024-11-30,2024Nov,4795.1057619
2024-12-31,2024Dec,4918.3386000
2025-01-31,2025Jan,5098.1174091
2025-02-28,2025Feb,5420.0439000
2025-03-31,2025Mar,5417.6658095
2025-04-30,2025Apr,4993.9877000
2025-05-31,2025May,5358.4690455
2025-06-30,2025Jun,5325.1491429
2025-07-31,2025Jul,5351.6696087
2025-08-31,2025Aug,5373.7999524
2025-09-30,2025Sep,5408.0214091
2025-10-31,2025Oct,5641.0701304
2025-11-30,2025Nov,5634.1263500
2025-12-31,2025Dec,5730.9314286
