,pr,er,CPI,ltir
2021-01-01,0.0,1.0283034809057114,0.9,-0.18
2021-02-01,0.0,1.0221358567083474,0.9,-0.06
2021-03-01,0.0,1.005322744170328,1.3,0.03
2021-04-01,0.0,1.012081784386617,1.6,0.08
2021-05-01,0.0,1.0261912808381208,2.0,0.23
2021-06-01,0.0,1.017826968570463,1.9,0.16
2021-07-01,0.0,0.9988171679621494,2.2,0.02
2021-08-01,0.0,0.9945927678269686,3.0,-0.09
2021-09-01,0.0,0.9944237918215614,3.4,0.06
2021-10-01,0.0,0.98014531936465,4.1,0.22
2021-11-01,0.0,0.964346062859074,4.9,0.17
2021-12-01,0.0,0.9550523825616763,5.0,0.13
2022-01-01,0.0,0.9558972625887124,5.1,0.4
2022-02-01,0.0,0.9582629266644136,5.9,0.77
2022-03-01,0.0,0.9309733017911458,7.4,0.89
2022-04-01,0.0,0.9140757012504224,7.5,1.39
2022-05-01,0.0,0.8937985806015546,8.1,1.69
2022-06-01,0.0,0.8927002365664075,8.6,2.25
2022-07-01,0.5,0.8600033795201082,8.9,1.91
2022-08-01,0.5,0.8556944913822236,9.1,1.85
2022-09-01,1.25,0.8367691787766137,9.9,2.61
2022-10-01,1.25,0.8301791145657317,10.6,3.0
2022-11-01,2.0,0.8618621155795877,10.1,2.83
2022-12-01,2.5,0.8946434606285907,9.2,2.85
2023-01-01,2.5,0.9098513011152416,8.6,2.93
2023-02-01,3.0,0.9052889489692464,8.5,3.08
2023-03-01,3.5,0.904528556944914,6.9,3.11
2023-04-01,3.5,0.9266644136532612,6.9,3.08
2023-05-01,3.75,0.9182156133828996,6.1,3.09
2023-06-01,4.0,0.9158499493071984,5.5,3.06
2023-07-01,4.0,0.9342683338965866,5.3,3.15
2023-08-01,4.25,0.921679621493748,5.2,3.22
2023-09-01,4.5,0.9026698208854343,4.3,3.37
2023-10-01,4.5,0.8924467725582967,2.9,3.59
2023-11-01,4.5,0.9131463332206826,2.4,3.3
2023-12-01,4.5,0.9211726934775264,2.9,2.77
2024-01-01,4.5,0.9213416694829336,2.8,2.83
2024-02-01,4.5,0.9120479891855356,2.6,2.95
2024-03-01,4.5,0.918553565393714,2.4,2.9
2024-04-01,4.5,0.9063872930043934,2.4,3.02
2024-05-01,4.5,0.913484285231497,2.6,3.07
2024-06-01,4.25,0.9090064210882056,2.5,3.11
2024-07-01,4.25,0.9161879013180128,2.6,3.06
2024-08-01,4.25,0.9303818857722204,2.2,2.85
2024-09-01,3.65,0.9383237580263604,1.7,2.78
2024-10-01,3.4,0.9212571814802298,2.0,2.81
2024-11-01,3.4,0.8981074687394389,2.2,2.88
2024-12-01,3.15,0.885349780331193,2.4,2.74
2025-01-01,3.15,0.874788779993241,2.5,3.04
2025-02-01,2.9,0.8797735721527542,2.3,2.94
2025-03-01,2.65,0.9130618452179792,2.2,3.24
2025-04-01,2.4,0.9474484623183508,2.2,3.06
2025-05-01,2.4,0.9528556944913822,1.9,3.06
2025-06-01,2.15,0.9729638391348427,2.0,3.01
2025-07-01,2.15,0.986566407570125,2.0,3.09
2025-08-01,2.15,0.9826799594457588,2.0,3.12
2025-09-01,2.15,0.991213247718824,2.2,3.15
2025-10-01,2.15,0.9825954714430551,2.1,3.07
2025-11-01,2.15,0.976681311253802,2.1,3.09
2025-12-01,2.15,0.9892700236566409,2.0,3.21
