,pr,epi,rGDP,CPI,ltir
2021-01-01,0.09,125.56883,21082.134,-0.2,1.08
2021-02-01,0.08,127.45333,21201.732333333333,-0.8,1.26
2021-03-01,0.07,131.89156,21321.330666666665,10.8,1.61
2021-04-01,0.07,137.71749,21440.929,25.4,1.64
2021-05-01,0.06,139.62018,21499.895333333334,15.6,1.62
2021-06-01,0.08,139.70002,21558.861666666668,10.5,1.52
2021-07-01,0.1,141.77331,21617.828,8.7,1.32
2021-08-01,0.09,143.58694,21741.464333333333,8.5,1.28
2021-09-01,0.08,141.3236,21865.10066666667,7.3,1.37
2021-10-01,0.08,142.81919,21988.737,7.7,1.58
2021-11-01,0.08,146.05015,21970.061333333335,8.2,1.56
2021-12-01,0.08,145.20585,21951.385666666665,7.4,1.47
2022-01-01,0.08,144.45138,21932.71,6.1,1.76
2022-02-01,0.08,141.16088,21944.155,7.1,1.93
2022-03-01,0.2,138.64008,21955.6,3.2,2.13
2022-04-01,0.33,139.80221,21967.045,3.0,2.75
2022-05-01,0.77,131.91671,22019.905,3.0,2.9
2022-06-01,1.21,128.11661,22072.765,2.2,3.14
2022-07-01,1.68,128.47761,22125.625,2.5,2.9
2022-08-01,2.33,134.4838,22176.531666666666,2.3,2.9
2022-09-01,2.56,124.86893,22227.438333333335,2.3,3.52
2022-10-01,3.08,124.54759,22278.345,1.8,3.98
2022-11-01,3.78,136.14763,22332.099000000002,1.3,3.89
2022-12-01,4.1,136.40959,22385.853,1.6,3.62
2023-01-01,4.33,137.11743,22439.607,2.9,3.53
2023-02-01,4.57,137.08588,22486.571,2.7,3.75
2023-03-01,4.65,132.34048,22533.535,2.2,3.66
2023-04-01,4.83,137.42413,22580.499,2.0,3.46
2023-05-01,5.06,135.73551,22667.329,2.1,3.57
2023-06-01,5.08,138.13178,22754.159,2.4,3.75
2023-07-01,5.12,141.6853,22840.989,2.8,3.9
2023-08-01,5.33,142.10679,22905.252666666667,2.3,4.17
2023-09-01,5.33,139.81811,22969.516333333333,2.3,4.38
2023-10-01,5.33,135.74647,23033.78,2.4,4.8
2023-11-01,5.33,141.38912,23049.893,3.1,4.5
2023-12-01,5.33,150.52903,23066.005999999998,3.6,4.02
2024-01-01,5.33,153.85359,23082.119,1.9,4.06
2024-02-01,5.33,157.75071,23150.248666666666,2.4,4.21
2024-03-01,5.33,159.31924,23218.378333333334,2.7,4.21
2024-04-01,5.33,156.44985,23286.508,2.6,4.54
2024-05-01,5.33,159.41649,23350.52866666667,3.1,4.48
2024-06-01,5.33,158.49714,23414.549333333332,3.1,4.31
2024-07-01,5.33,163.31393,23478.57,3.0,4.25
2024-08-01,5.33,164.22972,23514.560666666668,3.0,3.87
2024-09-01,5.13,169.03742,23550.551333333333,3.4,3.72
2024-10-01,4.83,173.12501,23586.542,3.3,4.1
2024-11-01,4.64,178.10651,23573.764666666666,3.2,4.36
2024-12-01,4.48,177.85654,23560.987333333334,3.6,4.39
2025-01-01,4.33,177.32193,23548.21,3.3,4.63
2025-02-01,4.33,180.11252,23622.465333333334,2.7,4.45
2025-03-01,4.33,171.48694,23696.720666666664,3.2,4.28
2025-04-01,4.33,162.45958,23770.976,3.1,4.28
2025-05-01,4.33,170.55853,23856.262,2.5,4.42
2025-06-01,4.33,174.17914,23941.548,2.5,4.38
2025-07-01,4.33,181.29576,24026.834,2.6,4.39
2025-08-01,4.33,182.37584,24036.47233333333,2.8,4.26
2025-09-01,4.22,187.03355,24046.110666666667,2.4,4.12
2025-10-01,4.09,190.29921,24055.749,2.5,4.06
2025-11-01,3.88,191.54874,24055.749,2.2,4.09
2025-12-01,3.72,196.04039,24055.749,1.6,4.14
