Year,Annual CO₂ emissions
1950,593.0406
1951,638.1651
1952,646.76997
1953,665.1039
1954,678.9734
1955,744.41027
1956,792.6275
1957,818.59763
1958,841.75165
1959,885.5113
1960,938.6952
1961,941.499
1962,974.7241
1963,1026.6778
1964,1082.447
1965,1131.0602
1966,1186.2625
1967,1223.7371
1968,1290.5273
1969,1376.1798
1970,1489.9139
1971,1550.3863
1972,1622.458
1973,1707.7285
1974,1699.7913
1975,1698.8476
1976,1786.2492
1977,1835.8039
1978,1902.4742
1979,1950.859
1980,1940.9793
1981,1887.9756
1982,1872.9742
1983,1890.1776
1984,1945.725
1985,2014.4863
1986,2043.8045
1987,2110.619
1988,2191.8757
1989,2220.0214
1990,2273.2145
1991,2320.5591
1992,2252.0424
1993,2274.9872
1994,2297.4597
1995,2351.664
1996,2423.3476
1997,2438.0322
1998,2429.5713
1999,2483.7771
2000,2551.1483
2001,2569.2994
2002,2626.5332
2003,2765.2692
2004,2861.0023
2005,2959.8951
2006,3059.4152
2007,3149.9256
2008,3204.966
2009,3151.3014
2010,3331.767
2011,3447.999
2012,3495.4736
2013,3527.582
2014,3546.5695
2015,3540.3526
2016,3539.283
2017,3597.461
2018,3673.4005
2019,3708.657
2020,3515.823
2021,3686.6863
2022,3752.7773
2023,3809.404
2024,3859.858
