,Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
197999,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Price|Carbon,US$2010/t CO2,5.60000504,5.687505152000001,5.950005375999999,66.15286484800001,118.249999616,188.42416376,279.003307072,358.0310297760001,455.57682912,,484.0057371520001,,512.434645296,,540.86355344,,569.292461472
198053,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy,EJ/yr,154.1472511,162.7943039,164.8775286,157.3140262,124.0617208,100.5398829,94.4392281,90.3775028,89.47422370000002,,84.54612160000002,,79.0018491,,75.17455269999999,,69.1874638
198054,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass,EJ/yr,7.064762,7.510514599999999,7.9448012,7.926979,8.6774138,10.1495775,11.3638515,12.8474142,14.2758242,,15.5620208,,15.6585247,,16.6963509,,15.8164275
198055,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass|1st Generation,EJ/yr,0.0299714,0.0290156,0.0231128,0.0249703,0.1534281,0.1624603,0.1736116,0.1736116,0.1736116,,0.1736116,,0.1736116,,0.1736116,,0.1736116
198056,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass|Electricity,EJ/yr,0.7607464,0.755219,0.75132,0.7567719,0.7414274,0.7324904,0.7344926999999999,0.7533945,0.8026201000000001,,1.0055403,,1.3362871,,1.6535761,,1.7151009
198057,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass|Electricity|w/ CCS,EJ/yr,0.0,7.4e-06,8e-06,0.0166209,0.0436254,0.1033561,0.2028694,0.3439169,0.5371759,,0.7738624,,0.7725288,,0.6177927,,0.422335
198058,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass|Electricity|w/o CCS,EJ/yr,0.7607464,0.7552116999999999,0.7513118999999999,0.740151,0.6978019999999999,0.6291342999999999,0.5316233,0.4094776000000001,0.2654442,,0.2316779,,0.5637582000000001,,1.0357835,,1.2927659
198059,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass|Energy Crops,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.9225997,1.4984324,2.6763619,3.5561332,,4.0008586,,3.3579819,,3.6863271,,2.1824634
198060,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass|Gases,EJ/yr,0.4876286000000001,0.506375,0.5158200000000001,0.5323714,0.493379,0.4066468,0.2695312,0.1641973,0.0874042,,0.1112309,,0.137898,,0.8378731,,0.8634643
198061,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Biomass|Heat,EJ/yr,2.5141819,3.9513329,5.138831,5.566334299999999,5.365221,5.080836199999999,4.667800299999999,4.148371,3.3702326,,1.3503129,,0.1356458,,4.7e-06,,2.8e-06
